Amin, Alayón Castellanos, 1974-08-02, C.C., 681026867, Astrazeneca, 2020-09-11, 2
Brais, Carvajal Cabrera, 1985-03-05, C.C., 667835361, Jahnnsen, 2020-07-11, DOSIS ÚNICA
Adolfo, Cuesta Cuevas, 1973-07-02, C.C., 443828422, Sputnik, 2021-10-22, 1
Arturo, Cevedo Caldera, 2007-03-30, C.C., 486785546, Astrazeneca, 2021-02-13, 2
Cayetano, Alzate Cevedo, 1998-05-04, PASAPORTE, 018438765, Jahnnsen, 2020-02-22, DOSIS ÚNICA
Ana, Calleja Caldera, 2003-09-28, PASAPORTE, 831495439, Pfizer, 2020-06-20, 1
Adolfo, Carranza Arjona, 1997-04-04, C.C., 545083547, Jahnnsen, 2020-01-19, DOSIS ÚNICA
Brahim, Cordero Alzate, 1977-09-06, PASAPORTE, 965226490, Jahnnsen, 2021-03-22, DOSIS ÚNICA
Adam, Alanis Cuesta, 2006-12-07, PASAPORTE, 805729627, Moderna, 2021-01-01, 2
Nicolas, Cuervo Cornejo, 2007-07-20, PASAPORTE, 900488139, Sputnik, 2021-11-11, 2
Camilo, Alcocer Agustín, 1973-12-01, C.C., 524405796, Pfizer, 2021-09-30, 2
Julio, Ahumada Camacho, 1979-06-08, C.C., 428969812, Moderna, 2021-12-14, 2
Luciana, Acuña Chavira, 1999-08-01, C.C., 342977969, Astrazeneca, 2020-05-26, 2
Alejo, Carvajal Cárdenas, 1989-10-26, PASAPORTE, 743687881, Jahnnsen, 2020-04-06, DOSIS ÚNICA
Juanita, Cervantes Calleja, 1998-08-21, PASAPORTE, 725448469, Jahnnsen, 2021-03-17, DOSIS ÚNICA
Brais, Aguirre Castellanos, 2005-12-29, PASAPORTE, 827202377, Jahnnsen, 2021-07-22, DOSIS ÚNICA
Bruno, Cabrera Alanis, 1989-06-23, C.C., 725060291, Jahnnsen, 2020-07-04, DOSIS ÚNICA
Adiran, Corro Camareno, 2009-04-12, PASAPORTE, 149020264, Pfizer, 2020-12-12, 1
Alejo, Almendárez Castañeda, 1970-09-04, PASAPORTE, 970021189, Moderna, 2020-10-15, 1
Jose Manuel, Alayón Cabeza, 2001-11-03, PASAPORTE, 935787658, Astrazeneca, 2020-11-30, 2
Isabella, Campos Campos, 1988-03-09, PASAPORTE, 661296364, Jahnnsen, 2021-05-08, DOSIS ÚNICA
José, Carranza Acuña, 1995-11-07, PASAPORTE, 445469885, Astrazeneca, 2021-02-27, 2
Arnau, Casas Cisneros, 1985-10-28, PASAPORTE, 294110773, Astrazeneca, 2021-04-20, 1
Adán, Carvallo Cervantes, 2007-05-09, C.C., 733004467, Astrazeneca, 2020-09-15, 1
Jose Luis, Campos Cuervo, 1981-12-12, PASAPORTE, 097214168, Jahnnsen, 2021-09-10, DOSIS ÚNICA
Alejandro, Carvajal Agustín, 1973-05-12, PASAPORTE, 212960132, Sputnik, 2021-06-05, 2
Aldo, Aguirre Caballero, 2000-12-30, PASAPORTE, 512309182, Jahnnsen, 2021-09-27, DOSIS ÚNICA
